"","CourseTitle","Term","Faculty","CourseSection","Phase","Area","Campus","Meeting Pattern","Bids","Closing Cost","Seats Available","Total seats","Enrolled","Program","WaitList","OpenSeats","Class","InstructorOverall","Learning","Difficulty","Global","Examples","Workload","Total Responses","Number of enrollees","year","quarter","phase","course","credit","eff"
"11","Negotiations","Winter 2018","Medvec, Victoria","MORS-470-0 (61)","Winter 2018 Bidding Phase I","MORS","Evanston","Mon/Thu 1:30 PM - 3:00 PM",105,1942,72,72,72,"Full-Time",33,0,5.8,5.8,5.9,5.5,4.7,5.7,3.2,57,72,2018,"Winter","I","MORS-470",1,334.827586206897
"12","Global Initiatives in Management (GIM)","Winter 2018","Darragh, Linda","INTL-473-0 (83)","Winter 2018 Bidding Phase I","INTL","Evanston","Non-Standard Meetings",11,1925,5,5,5,"Evening",6,0,4.1,4.1,4.1,4.1,5.2,4.5,2.8,21,23,2018,"Winter","I","INTL-473",1,469.512195121951
"13","Operations Management","Spring 2016","Allon, Gad","OPNS-430-0 (68)","Spring 2016 Bidding Phase II","OPNS","Evanston","Tue/Fri 3:30 PM - 5:00 PM",17,1918,1,65,1,"Full-Time",16,0,5.4,5.7,5.7,5.6,5.1,5.4,3.2,62,65,2016,"Spring","II","OPNS-430",1,355.185185185185
"14","Negotiations","Winter 2017","Medvec, Victoria","MORS-470-0 (62)","Winter 2017 Bidding Phase I","MORS","Evanston","Mon/Thu 10:30 AM - 12:00 PM",111,1916,72,72,72,"Full-Time",39,0,5.6,5.7,5.9,5.7,4.6,5.6,3.4,66,73,2017,"Winter","I","MORS-470",1,342.142857142857
"15","Personal Leadership Insights","Summer 2016","Corona, Paul","KACI-461-5 (71)","Summer 2016 Bidding Phase II","KACI","Chicago","Thu 6:00 PM - 9:00 PM",20,1874,10,10,10,"Evening",10,0,5.4,5.9,5.8,5.8,5.3,5.5,3.1,8,10,2016,"Summer","II","KACI-461",0.5,347.037037037037
"16","Negotiations","Winter 2016","Medvec, Victoria","MORS-470-0 (61)","Winter 2016 Bidding Phase I","MORS","Evanston","Mon/Thu 10:30 AM - 12:00 PM",209,1863,74,75,74,"Full-Time",135,0,5.5,5.5,5.9,5.6,4.6,5.4,3.3,54,72,2016,"Winter","I","MORS-470",1,338.727272727273
"17","Strategies for Growth","Spring 2017","Mazzeo, Michael","STRT-955-5 (80)","Spring 2017 Bidding Phase II","STRT","Evanston","Tue 1:30 PM - 4:30 PM",1,1758,1,7,1,"Evening",0,0,5,5.2,5.1,4.9,5.2,5.5,2.3,55,63,2017,"Spring","II","STRT-955",0.5,351.6
"18","Negotiations","Winter 2016","Medvec, Victoria","MORS-470-0 (62)","Winter 2016 Bidding Phase I","MORS","Evanston","Mon/Thu 1:30 PM - 3:00 PM",146,1747,75,75,75,"Full-Time",71,0,5.2,5.3,5.8,5.3,4.5,5.2,3.1,50,72,2016,"Winter","I","MORS-470",1,335.961538461538
"19","Global Entrepreneurial Finance","Spring 2017","Liberti, Jose Maria","FINC-945-0 (80)","Spring 2017 Bidding Phase I","FINC","Evanston","Thu 6:30 PM - 9:30 PM",1,1738,1,1,1,"Weekend",0,0,5.8,5.9,5.9,5.9,5.9,5.8,5.9,35,39,2017,"Spring","I","FINC-945",1,299.655172413793
"20","Negotiations","Winter 2017","Medvec, Victoria","MORS-470-0 (61)","Winter 2017 Bidding Phase I","MORS","Evanston","Mon/Thu 8:30 AM - 10:00 AM",108,1707,72,72,72,"Full-Time",36,0,5.5,5.6,5.9,5.4,4.3,5.5,3.1,65,72,2017,"Winter","I","MORS-470",1,310.363636363636
"21","C Suite and Boardroom Dynamics","Fall 2017","Patel, Homi","MKTG-478-0 (80)","Fall 2017 Bidding Phase I","MKTG","Evanston","Mon 6:30 PM - 9:30 PM",10,1701,4,4,4,"Evening",6,0,4.8,5.2,4.9,4.4,4.9,5.4,2.4,43,44,2017,"Fall","I","MKTG-478",1,354.375
"22","Global Initiatives in Management (GIM)","Winter 2018","Keeler, Daniel","INTL-473-0 (82)","Winter 2018 Bidding Phase II","INTL","Evanston","Non-Standard Meetings",5,1700,1,11,1,"Evening",4,0,5.3,5.1,5,4.7,5.7,5.3,2.3,24,37,2018,"Winter","II","INTL-473",1,320.754716981132
"23","Corporate Innovation and New Ventures","Fall 2016","DeBiase, Dean","KIEI-903-0 (30)","Fall 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",10,1700,3,3,3,"Weekend",7,0,4.1,3.1,4.3,4.6,4,4.8,3.7,18,30,2016,"Fall","I","KIEI-903",1,414.634146341463
"24","Corporate Innovation and New Ventures","Fall 2016","Earle, Jr., Paul","KIEI-903-0 (30)","Fall 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",10,1700,3,3,3,"Weekend",7,0,4.4,4.6,4.4,4.5,4,4.9,3.7,18,30,2016,"Fall","I","KIEI-903",1,386.363636363636
"25","Global Initiatives in Management (GIM)","Winter 2018","Seitz, Tasha","INTL-473-0 (84)","Winter 2018 Bidding Phase I","INTL","Evanston","Non-Standard Meetings",3,1650,2,2,2,"Weekend",1,0,4.6,3.8,4.1,3.8,5.8,4.9,2.6,21,32,2018,"Winter","I","INTL-473",1,358.695652173913
"26","Managerial Leadership","Spring 2016","Kraemer, Harry","KACI-468-0 (70)","Spring 2016 Bidding Phase II","KACI","Chicago","Wed 6:00 PM - 9:00 PM",5,1602,1,10,1,"Weekend",4,0,5.2,5.5,5.3,4.6,4.9,5.4,2.3,61,100,2016,"Spring","II","KACI-468",1,308.076923076923
"27","Marketing Research and Analytics","Spring 2017","Touré-Tillery, Rima","MKTG-450-0 (61)","Spring 2017 Bidding Phase II","MKTG","Evanston","Tue/Fri 10:30 AM - 12:00 PM",9,1600,1,48,1,"Full-Time",8,0,4.7,4.9,5.5,5,4.1,4.9,3.5,33,41,2017,"Spring","II","MKTG-450",1,340.425531914894
"28","Negotiations Fundamentals","Fall 2017","Kteily, Nour","MORS-472-5 (80)","Fall 2017 Bidding Phase I","MORS","Evanston","Fri 1:30 PM - 4:30 PM",8,1600,2,2,2,"Weekend",6,0,5.4,5.7,5.7,5.5,4.3,5,2.5,33,35,2017,"Fall","I","MORS-472",0.5,296.296296296296
"29","Financial Modeling for Leveraged Buyout Transactions","Spring 2017","Saraiya, Chirag","FINC-940-5 (61)","Spring 2017 Bidding Phase II","FINC","Evanston","Mon 3:15 PM - 6:15 PM",18,1527,1,65,1,"Full-Time",17,0,5.3,5.7,5.6,5.2,4.6,4.9,3,50,64,2017,"Spring","II","FINC-940",0.5,288.11320754717
"30","Marketing Strategy","Spring 2018","Hennessy, Julie","MKTG-466-0 (80)","Spring 2018 Bidding Phase II","MKTG","Evanston","Thu 6:30 PM - 9:30 PM",127,1516,25,55,25,"Full-Time",102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-466",1,NA
"31","Personal Leadership Insights","Fall 2017","Corona, Paul","KACI-461-5 (71)","Fall 2017 Bidding Phase I","KACI","Chicago","Thu 6:00 PM - 9:00 PM",24,1510,10,10,10,"Evening",14,0,6,5.5,5.9,6,5,5.3,2.5,10,10,2017,"Fall","I","KACI-461",0.5,251.666666666667
"32","Personal Leadership Insights","Winter 2018","Langewisch, Robert","KACI-461-5 (71)","Winter 2018 Bidding Phase I","KACI","Chicago","Tue 6:00 PM - 9:00 PM",34,1501,12,12,12,"Evening",22,0,5.5,5.6,5.6,5.3,4.3,4.6,2.6,11,12,2018,"Winter","I","KACI-461",0.5,272.909090909091
"33","Personal Leadership Insights","Summer 2017","Corona, Paul","KACI-461-5 (71)","Summer 2017 Bidding Phase I","KACI","Chicago","Thu 6:00 PM - 9:00 PM",39,1500,10,10,10,"Evening",29,0,6,5.9,6,5.7,5.4,5.7,2.9,9,10,2017,"Summer","I","KACI-461",0.5,250
"34","Negotiations Fundamentals","Spring 2018","Finkel, Eli","MORS-472-5 (80)","Spring 2018 Bidding Phase I","MORS","Evanston","Fri 1:30 PM - 4:30 PM",5,1500,3,3,3,"Weekend",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MORS-472",0.5,NA
"35","Corporate Innovation and New Ventures","Spring 2018","DeBiase, Dean","KIEI-903-0 (30)","Spring 2018 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",7,1500,3,3,3,"Full-Time",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KIEI-903",1,NA
"36","Corporate Innovation and New Ventures","Spring 2018","Earle, Jr., Paul","KIEI-903-0 (30)","Spring 2018 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",7,1500,3,3,3,"Full-Time",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KIEI-903",1,NA
"37","Personal Leadership Insights","Spring 2018","Corona, Paul","KACI-461-5 (71)","Spring 2018 Bidding Phase I","KACI","Chicago","Thu 6:00 PM - 9:00 PM",21,1500,12,12,12,"Evening",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KACI-461",0.5,NA
"38","Applied Real Estate Finance and Investments","Spring 2018","Furfine, Craig","FINC-455-0 (80)","Spring 2018 Bidding Phase II","FINC","Evanston","Tue 6:30 PM - 9:30 PM",1,1500,1,12,1,"Evening",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","FINC-455",1,NA
"39","C Suite and Boardroom Dynamics","Spring 2017","Patel, Homi","MKTG-940-0 (81)","Spring 2017 Bidding Phase I","MKTG","Evanston","Mon 6:30 PM - 9:30 PM",7,1500,7,7,7,"Evening",0,0,4.1,4.6,4.7,4,4.7,5.4,2.1,34,44,2017,"Spring","I","MKTG-940",1,365.853658536585
"40","Marketing Management","Winter 2017","Grayson, Kent","MKTG-430-0 (63)","Winter 2017 Bidding Phase II","MKTG","Evanston","Mon/Thu 8:30 AM - 10:00 AM",10,1500,2,65,2,"Full-Time",8,0,4.9,5.3,5.4,5.1,5.7,5.6,3.2,60,65,2017,"Winter","II","MKTG-430",1,306.122448979592
"41","Cross-Cultural Negotiation","Summer 2016","Cohen-Chen, Smadar","MORS-474-0 (71)","Summer 2016 Bidding Phase II","MORS","Chicago","Tue 6:00 PM - 9:00 PM",9,1500,1,36,1,"Evening",8,0,5.3,5.4,5.6,5.3,5.6,5.3,2.3,22,34,2016,"Summer","II","MORS-474",1,283.018867924528
"42","C Suite and Boardroom Dynamics","Fall 2016","Patel, Homi","MKTG-940-0 (30)","Fall 2016 Bidding Phase I","MKTG","Chicago","Thu 6:00 PM - 9:00 PM",80,1500,32,35,32,"Evening",48,0,4.9,5.3,5,4.5,5,5.7,2.2,35,45,2016,"Fall","I","MKTG-940",1,306.122448979592
"43","Personal Leadership Insights","Winter 2017","Langewisch, Robert","KACI-461-5 (71)","Winter 2017 Bidding Phase I","KACI","Chicago","Mon 6:00 PM - 9:00 PM",27,1500,10,10,10,"Evening",17,0,5.5,5.3,5.6,5.2,5.1,5.2,2,10,10,2017,"Winter","I","KACI-461",0.5,272.727272727273
"44","C Suite and Boardroom Dynamics","Fall 2015","Patel, Homi","MKTG-940-0 (30)","Fall 2015 Bidding Phase I","MKTG","Chicago","Mon 6:00 PM - 9:00 PM",73,1500,35,35,35,"Evening",38,0,5.2,5.6,5.2,5,5.3,5.7,2.5,40,45,2015,"Fall","I","MKTG-940",1,288.461538461538
"45","Global Initiatives in Management (GIM)","Winter 2016","Seitz, Tasha","INTL-473-0 (89)","Winter 2016 Bidding Phase I","INTL","Evanston","Non-Standard Meetings",13,1500,5,5,5,"Evening",8,0,4.7,4.6,4.7,4.9,5.7,5.1,2.7,21,23,2016,"Winter","I","INTL-473",1,319.148936170213
"46","Global Initiatives in Management (GIM)","Winter 2016","Lansberg-Rodriguez, Daniel","INTL-473-0 (84)","Winter 2016 Bidding Phase I","INTL","Evanston","Thu 6:30 PM - 9:30 PM",7,1500,5,5,5,"Evening",2,0,4.6,5.5,4.3,4.5,5.8,5.1,2.7,11,28,2016,"Winter","I","INTL-473",1,326.086956521739
"47","Corporate Innovation and New Ventures","Fall 2016","DeBiase, Dean","KIEI-903-0 (30)","Fall 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",17,1450,5,5,5,"Full-Time",12,0,4.1,3.1,4.3,4.6,4,4.8,3.7,18,30,2016,"Fall","I","KIEI-903",1,353.658536585366
"48","Corporate Innovation and New Ventures","Fall 2016","Earle, Jr., Paul","KIEI-903-0 (30)","Fall 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",17,1450,5,5,5,"Full-Time",12,0,4.4,4.6,4.4,4.5,4,4.9,3.7,18,30,2016,"Fall","I","KIEI-903",1,329.545454545455
"49","Public Economics for Business Leaders: Federal Policy","Winter 2017","Besanko, David","KPPI-470-0 (61)","Winter 2017 Bidding Phase II","KPPI","Evanston","Tue/Fri 3:30 PM - 5:00 PM",12,1450,2,65,2,"Full-Time",10,0,5.5,5.8,5.7,5.8,6,5.8,4,43,48,2017,"Winter","II","KPPI-470",1,263.636363636364
"50","Financial Modeling for Leveraged Buyout Transactions","Spring 2017","Saraiya, Chirag","FINC-940-5 (81)","Spring 2017 Bidding Phase II","FINC","Evanston","Mon 6:30 PM - 9:30 PM",22,1450,3,55,3,"Full-Time",19,0,5.4,5.6,5.5,5.2,4.5,4.8,3,54,63,2017,"Spring","II","FINC-940",0.5,268.518518518518
"51","Corporate Innovation and New Ventures","Fall 2017","DeBiase, Dean","KIEI-903-0 (30)","Fall 2017 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",8,1450,3,3,3,"Full-Time",5,0,5.3,4.9,5.2,5.3,4.9,5.4,3.5,16,28,2017,"Fall","I","KIEI-903",1,273.584905660377
"52","Corporate Innovation and New Ventures","Fall 2017","Earle, Jr., Paul","KIEI-903-0 (30)","Fall 2017 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",8,1450,3,3,3,"Full-Time",5,0,5.4,5.4,5.4,5.4,5.1,5.4,3.5,16,28,2017,"Fall","I","KIEI-903",1,268.518518518518
"53","C Suite and Boardroom Dynamics","Summer 2018","Patel, Homi","MKTG-478-0 (70)","Summer 2018 Bidding Phase I","MKTG","Chicago","Mon 6:00 PM - 9:00 PM",76,1424,38,38,38,"Evening",38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Summer","I","MKTG-478",1,NA
"54","Creativity as a Business Tool","Spring 2017","Thompson, Leigh","MORS-955-5 (80)","Spring 2017 Bidding Phase II","MORS","Evanston","Tue 1:30 PM - 4:30 PM",1,1423,1,1,1,"Weekend",0,0,5,4.9,5.3,5,4.8,5.1,2.3,28,40,2017,"Spring","II","MORS-955",0.5,284.6
"55","Creativity as a Business Tool","Spring 2017","Schonthal, David","MORS-955-5 (80)","Spring 2017 Bidding Phase II","MORS","Evanston","Tue 1:30 PM - 4:30 PM",1,1423,1,1,1,"Weekend",0,0,5.1,5.5,5.3,5,4.9,5.4,2.3,28,40,2017,"Spring","II","MORS-955",0.5,279.019607843137
"56","Operations Strategy","Spring 2016","Allon, Gad","OPNS-454-0 (61)","Spring 2016 Bidding Phase I","OPNS","Evanston","Tue/Fri 10:30 AM - 12:00 PM",128,1412,62,65,62,"Full-Time",66,0,5.4,5.7,5.7,5.8,5.3,5.6,3.8,62,65,2016,"Spring","I","OPNS-454",1,261.481481481481
"57","Corporate Innovation and New Ventures","Spring 2016","DeBiase, Dean","KIEI-903-0 (30)","Spring 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",8,1402,3,5,3,"Full-Time",5,0,5,5.1,5.2,5.2,4.7,5.5,3.8,24,30,2016,"Spring","I","KIEI-903",1,280.4
"58","Corporate Innovation and New Ventures","Spring 2016","Earle, Jr., Paul","KIEI-903-0 (30)","Spring 2016 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",8,1402,3,5,3,"Full-Time",5,0,5,5.2,5.2,5.2,4.7,5.5,3.8,24,30,2016,"Spring","I","KIEI-903",1,280.4
"59","New Venture Discovery","Fall 2016","Schonthal, David","KIEI-462-0 (61)","Fall 2016 Bidding Phase I","KIEI","Evanston","Tue 1:30 PM - 4:30 PM",92,1401,28,32,28,"Full-Time",64,0,5.3,5.6,5.4,5.4,4.3,5.4,3.8,28,32,2016,"Fall","I","KIEI-462",1,264.339622641509
"60","Selling Yourself and Your Ideas","Spring 2018","Wortmann, Craig","KACI-940-0 (80)","Spring 2018 Bidding Phase I","KACI","Evanston","Mon 6:30 PM - 9:30 PM",24,1400,7,7,7,"Evening",17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KACI-940",1,NA
"61","New Venture Discovery","Winter 2017","Cast, Carter","KIEI-462-0 (61)","Winter 2017 Bidding Phase I","KIEI","Evanston","Tue 1:30 PM - 4:30 PM",43,1397,29,32,29,"Full-Time",11,0,5.6,5.9,5.8,5.7,4.5,5.5,3.5,32,32,2017,"Winter","I","KIEI-462",1,249.464285714286
"62","Strategic Brand Management","Spring 2018","Chernev, Alexander","MKTG-473-0 (61)","Spring 2018 Bidding Phase II","MKTG","Evanston","Tue 1:30 PM - 4:30 PM",21,1396,2,65,2,"Full-Time",19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MKTG-473",1,NA
"63","Global Initiatives in Management (GIM)","Winter 2017","Keeler, Daniel","INTL-473-0 (83)","Winter 2017 Bidding Phase I","INTL","Evanston","Non-Standard Meetings",8,1373,6,6,6,"Evening",2,0,4.5,3.7,4.1,4,5.7,4.9,1.7,21,36,2017,"Winter","I","INTL-473",1,305.111111111111
"64","Managerial Leadership","Spring 2016","Kraemer, Harry","KACI-468-0 (70)","Spring 2016 Bidding Phase I","KACI","Chicago","Wed 6:00 PM - 9:00 PM",133,1355,90,90,90,"Evening",43,0,5.2,5.5,5.3,4.6,4.9,5.4,2.3,61,100,2016,"Spring","I","KACI-468",1,260.576923076923
"65","C Suite and Boardroom Dynamics","Spring 2016","Patel, Homi","MKTG-940-0 (81)","Spring 2016 Bidding Phase I","MKTG","Evanston","Mon 6:30 PM - 9:30 PM",16,1355,10,10,10,"Evening",6,0,5,5.2,5,4.8,5,5.4,2.3,25,39,2016,"Spring","I","MKTG-940",1,271
"66","New Venture Discovery","Winter 2016","Cast, Carter","KIEI-462-0 (61)","Winter 2016 Bidding Phase I","KIEI","Evanston","Tue 1:30 PM - 4:30 PM",57,1350,31,32,31,"Full-Time",26,0,5.7,5.9,5.7,5.6,5,5.7,3.6,32,32,2016,"Winter","I","KIEI-462",1,236.842105263158
"67","Mergers and Acquisitions, LBOs and Corporate Restructuring","Spring 2018","Liberti, Jose Maria","FINC-448-0 (80)","Spring 2018 Bidding Phase II","FINC","Evanston","Tue 6:30 PM - 9:30 PM",1,1334,1,3,1,"Weekend",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","FINC-448",1,NA
"68","Selling Yourself and Your Ideas","Fall 2017","Wortmann, Craig","KACI-940-0 (30)","Fall 2017 Bidding Phase I","KACI","Chicago","Mon 6:00 PM - 9:00 PM",42,1333,5,5,5,"Full-Time",37,0,5.4,5.8,5.6,5,4.7,5.3,2.5,56,64,2017,"Fall","I","KACI-940",1,246.851851851852
"69","Global Initiatives in Management (GIM)","Winter 2017","Seitz, Tasha","INTL-473-0 (89)","Winter 2017 Bidding Phase I","INTL","Evanston","Non-Standard Meetings",3,1301,1,1,1,"Weekend",2,0,5.6,5.1,5.2,4.7,5.8,5.3,2.7,20,23,2017,"Winter","I","INTL-473",1,232.321428571429
"70","Personal Leadership Insights","Fall 2016","Ellington Booth, Brenda","KACI-461-5 (61)","Fall 2016 Bidding Phase I","KACI","Evanston","Mon 1:30 PM - 3:00 PM",50,1300,10,10,10,"Full-Time",40,0,5.6,5.7,5.6,5.3,5.1,5.3,2.3,9,10,2016,"Fall","I","KACI-461",0.5,232.142857142857
"71","International Finance","Fall 2015","Rebelo, Sergio","FINC-470-0 (62)","Fall 2015 Bidding Phase II","FINC","Evanston","Mon/Thu 3:30 PM - 5:00 PM",14,1300,2,65,2,"Full-Time",12,0,5.3,5.7,5.4,5.1,6,5.7,2.6,57,65,2015,"Fall","II","FINC-470",1,245.283018867925
"72","Personal Leadership Insights","Fall 2015","Ellington Booth, Brenda","KACI-461-5 (61)","Fall 2015 Bidding Phase I","KACI","Evanston","Non-Standard Meetings",93,1300,10,10,10,"Full-Time",83,0,5.9,5.9,5.9,5.7,4.8,5.2,2.8,9,10,2015,"Fall","I","KACI-461",0.5,220.338983050847
"73","Launching and Leading Startups","Fall 2017","Cast, Carter","KIEI-967-0 (61)","Fall 2017 Bidding Phase I","KIEI","Evanston","Tue 1:30 PM - 4:30 PM",114,1300,46,50,46,"Full-Time",68,0,5.9,6,5.9,5.8,5.1,5.9,3.1,48,50,2017,"Fall","I","KIEI-967",1,220.338983050847
"74","Personal Leadership Insights","Summer 2018","Murnane, Kevin","KACI-461-5 (72)","Summer 2018 Bidding Phase I","KACI","Chicago","Thu 6:00 PM - 9:00 PM",35,1299,12,12,12,"Evening",23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Summer","I","KACI-461",0.5,NA
"75","Selling Yourself and Your Ideas","Spring 2018","Wortmann, Craig","KACI-940-0 (80)","Spring 2018 Bidding Phase I","KACI","Evanston","Mon 6:30 PM - 9:30 PM",271,1291,59,62,59,"Full-Time",212,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","KACI-940",1,NA
"76","New Venture Discovery","Spring 2016","Cast, Carter","KIEI-462-0 (61)","Spring 2016 Bidding Phase I","KIEI","Evanston","Tue 1:30 PM - 4:30 PM",43,1290,31,32,31,"Full-Time",12,0,5.5,5.9,5.8,5.5,4.6,5.6,3.7,31,32,2016,"Spring","I","KIEI-462",1,234.545454545455
"77","Marketing Strategy","Fall 2016","Calkins, Timothy","MKTG-466-0 (62)","Fall 2016 Bidding Phase II","MKTG","Evanston","Mon/Thu 10:30 AM - 12:00 PM",22,1290,1,65,1,"Full-Time",21,0,5.3,5.4,5.2,4.8,4.8,5.3,3,40,65,2016,"Fall","II","MKTG-466",1,243.396226415094
"78","Operations Management","Spring 2016","Allon, Gad","OPNS-430-0 (67)","Spring 2016 Bidding Phase I","OPNS","Evanston","Tue/Fri 1:30 PM - 3:00 PM",130,1264,65,65,65,"Full-Time",60,0,5.5,5.8,5.7,5.6,5.1,5.5,2.9,64,65,2016,"Spring","I","OPNS-430",1,229.818181818182
"79","Cross-Cultural Negotiation","Fall 2016","Brett, Jeanne","MORS-474-0 (61)","Fall 2016 Bidding Phase II","MORS","Evanston","Tue 1:30 PM - 4:30 PM",17,1257,1,36,1,"Full-Time",16,0,4.7,4.3,5.3,4.9,5.6,5.2,2.3,34,36,2016,"Fall","II","MORS-474",1,267.446808510638
"80","Real Estate Entrepreneurship","Winter 2017","Bennett, William","REAL-925-0 (81)","Winter 2017 Bidding Phase II","REAL","Evanston","Tue 6:30 PM - 9:30 PM",2,1256,1,20,1,"Evening",1,0,5.2,5.2,5.4,5.4,4.2,5.2,3.6,30,48,2017,"Winter","II","REAL-925",1,241.538461538462
"81","Global Initiatives in Management (GIM)","Winter 2017","Lansberg-Rodriguez, Daniel","INTL-473-0 (82)","Winter 2017 Bidding Phase I","INTL","Evanston","Thu 6:30 PM - 9:30 PM",1,1250,1,1,1,"Weekend",0,0,4,3.7,4.2,4.2,5.1,4.7,2.4,29,38,2017,"Winter","I","INTL-473",1,312.5
"82","Personal Leadership Insights","Fall 2016","Murnane, Kevin","KACI-461-5 (71)","Fall 2016 Bidding Phase I","KACI","Chicago","Wed 6:00 PM - 9:00 PM",32,1250,10,10,10,"Evening",22,0,6,6,6,5.8,5.3,5.5,2.7,6,9,2016,"Fall","I","KACI-461",0.5,208.333333333333
